# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
6.0,-0.479965,0,6,14.84362
6.0,-0.046701,0,6,14.864339
7.0,-2.050168,0,7,14.885782
9.0,-0.681953,0,9,14.916417
5.0,-2.951414,0,5,14.931265
4.0,-0.01921,0,4,14.945075
5.0,-3.124897,0,5,14.960441
7.0,-0.620294,0,7,14.983019
4.0,-0.013554,0,4,14.997624
4.0,-0.104063,0,4,15.012378
7.0,-1.914018,0,7,15.033783
8.0,-5.423349,0,8,15.057475
4.0,-0.624577,0,4,15.069555
4.0,-0.568884,0,4,15.081789
5.0,-4.649196,0,5,15.097335
7.0,-5.190196,0,7,15.118171
6.0,-0.270373,0,6,15.139501
5.0,-0.036804,0,5,15.157442
5.0,-2.828999,0,5,15.173162
4.0,-0.820882,0,4,15.184893
5.0,-0.031152,0,5,15.202608
4.0,-0.040585,0,4,15.217045
4.0,-2.858837,0,4,15.229714
6.0,-5.320351,0,6,15.247445
7.0,-0.799462,0,7,15.270697
6.0,-2.142749,0,6,15.288878
5.0,-0.098427,0,5,15.306167
4.0,-0.061579,0,4,15.320569
6.0,-3.775586,0,6,15.339204
7.0,-2.491268,0,7,15.359852
5.0,-1.690474,0,5,15.374802
7.0,-0.073154,0,7,15.399477
6.0,-0.528669,0,6,15.420453
9.0,-8.649054,0,9,15.447026
6.0,-0.742906,0,6,15.466565
8.0,-1.248173,0,8,15.491049
8.0,-1.681194,0,8,15.515308
4.0,-0.655909,0,4,15.527811
5.0,-0.620686,0,5,15.542526
13.0,-4.163104,0,13,15.581114
4.0,-4.118474,0,4,15.593143
4.0,-0.289988,0,4,15.606764
10.0,-6.254219,0,10,15.636849
21.0,-19.353748,0,21,15.697925
5.0,-0.372306,0,5,15.714604
5.0,-1.148318,0,5,15.730306
4.0,-0.323529,0,4,15.744974
13.0,-5.100621,0,13,15.785043
6.0,-2.42751,0,6,15.802829
6.0,-1.439813,0,6,15.820445
9.0,-8.251698,0,9,15.846747
4.0,-0.747077,0,4,15.858761
9.0,-5.970192,0,9,15.885267
9.0,-4.234004,0,9,15.911741
14.0,-2.71144,0,14,15.952557
4.0,-4.271828,0,4,15.965274
5.0,-0.159816,0,5,15.982896
6.0,-3.148067,0,6,16.001019
7.0,-3.088729,0,7,16.021481
5.0,-1.022147,0,5,16.036354
6.0,-0.589439,0,6,16.056829
8.0,-0.584721,0,8,16.083555
5.0,-2.162328,0,5,16.098691
5.0,-1.161557,0,5,16.113153
4.0,-0.423195,0,4,16.125726
5.0,-1.969191,0,5,16.141185
12.0,-0.526159,0,12,16.183225
8.0,-0.051749,0,8,16.210911
4.0,-1.009667,0,4,16.223581
4.0,-0.926692,0,4,16.235653
8.0,-4.159907,0,8,16.259146
20.0,-9.094384,0,20,16.317144
10.0,-6.788281,0,10,16.346346
5.0,-3.069,0,5,16.361258
4.0,-3.385861,0,4,16.373107
6.0,-0.621511,0,6,16.391249
10.0,-5.513607,0,10,16.421046
5.0,-0.125586,0,5,16.437874
6.0,-2.176276,0,6,16.455911
6.0,-0.87079,0,6,16.47409
7.0,-2.370524,0,7,16.495077
8.0,-3.51633,0,8,16.518623
6.0,-2.702553,0,6,16.536323
5.0,-4.353186,0,5,16.55114
14.0,-8.3484,0,14,16.592094
8.0,-5.38705,0,8,16.615511
4.0,-0.993204,0,4,16.627647
4.0,-4.29632,0,4,16.639496
5.0,-2.194731,0,5,16.654308
9.0,-0.206226,0,9,16.684686
4.0,-0.957357,0,4,16.696709
5.0,-0.090593,0,5,16.713402
4.0,-0.763742,0,4,16.725813
9.0,-5.818965,0,9,16.75201
5.0,-0.031079,0,5,16.768832
5.0,-1.237513,0,5,16.783905
4.0,-0.331355,0,4,16.796989
6.0,-1.401271,0,6,16.815256
5.0,-0.351648,0,5,16.831628
6.0,-0.028644,0,6,16.852373
4.0,-1.275946,0,4,16.866096
8.0,-3.49774,0,8,16.889493
5.0,-4.954153,0,5,16.904841
10.0,-3.085777,0,10,16.934989
