# {"t_start": 1562362757.4367013, "env_id": "ReacherGP-v2"} 
r,c,violation,l,t
-12.475618,-27.085425,17,50,1075.03848
-13.250875,-40.768566,27,50,1076.769341
-12.443462,-44.5216,30,50,1078.557705
-10.341396,-33.98799,24,50,1080.266952
-12.382626,-45.623644,26,50,1082.032317
-15.7324,-19.645439,10,50,1083.783988
-7.30073,-27.241493,16,50,1085.541235
-5.764742,-24.125713,14,50,1087.26846
-6.676496,-27.097217,15,50,1088.998129
-9.304088,-33.415991,17,50,1090.727845
-8.461783,-33.694252,21,50,1092.463655
-7.627662,-28.007501,12,50,1094.334678
-6.421029,-32.365626,23,50,1096.068138
-3.34288,-5.03743,0,50,1097.815047
-6.721491,-40.036492,23,50,1099.473984
-4.764648,-15.104596,11,50,1101.154563
-7.295173,-27.526704,16,50,1102.873939
-11.721905,-33.261963,33,50,1104.570835
-13.218535,-31.372262,21,50,1106.347967
-6.2075,-35.874819,23,50,1108.056509
-9.274939,-41.468017,33,50,1109.803427
-10.319537,-44.251011,38,50,1111.493545
-5.167862,-14.34305,6,50,1113.22911
-9.054821,-36.399509,23,50,1114.977084
-11.40291,-38.747221,30,50,1116.713372
-12.244085,-20.980445,6,50,1118.504175
-6.927616,-24.964984,15,50,1120.173531
-9.135479,-46.2977,37,50,1121.865814
-7.727393,-20.73602,11,50,1123.609661
-6.351944,-11.656388,5,50,1125.3123
-3.56286,-15.931749,10,50,1126.983483
-9.814906,-22.69232,4,50,1128.834712
-9.578839,-20.121925,9,50,1130.613587
-11.483705,-55.567619,35,50,1132.285114
-4.892449,-36.426489,30,50,1134.025965
-8.418694,-13.639757,9,50,1135.748556
-10.596627,-40.62196,35,50,1137.477536
-9.698261,-31.421713,19,50,1139.205661
-12.633487,-20.345097,4,50,1140.997152
-11.292429,-48.066106,38,50,1142.702754
-7.438034,-38.618391,25,50,1144.481019
-8.48469,-46.42474,38,50,1146.229891
-10.61579,-19.225344,8,50,1148.029219
-9.4987,-26.728016,10,50,1149.70454
-7.539525,-39.764346,22,50,1151.365515
-9.936798,-2.437164,0,50,1153.084072
-7.295002,-19.748224,8,50,1154.840775
-11.974882,-42.650002,37,50,1156.586975
-12.489148,-29.639536,13,50,1158.354295
-7.462626,-6.070569,0,50,1160.06102
-10.35225,-46.153836,39,50,1161.836492
-6.674307,-8.189942,3,50,1163.755294
-11.280028,-38.63452,18,50,1165.469072
-7.291518,-27.21899,20,50,1167.24372
-9.396739,-47.477135,40,50,1169.009722
-9.195714,-45.307147,37,50,1170.755057
-8.404039,-46.487141,38,50,1172.547979
-6.957843,-21.476804,11,50,1174.31595
-7.524713,-35.019784,26,50,1176.051344
-9.587946,-27.529745,12,50,1177.820546
-10.250207,-43.666426,38,50,1179.60077
-9.081407,-21.144421,9,50,1181.335774
-11.199838,-18.331573,10,50,1183.106566
-10.038728,-45.115205,37,50,1184.813561
-4.681773,-36.689035,26,50,1186.656941
-7.905094,-24.629484,16,50,1188.438788
-7.380607,-46.272559,38,50,1190.186323
-9.753509,-22.221979,14,50,1192.003587
-5.903857,-38.787867,34,50,1193.787805
-6.855966,-36.866195,28,50,1195.553337
-8.924729,-26.046196,11,50,1197.278077
-10.584391,-47.723736,40,50,1199.178813
-6.459156,-44.297332,35,50,1200.92325
-9.667187,-43.924096,39,50,1202.563962
-9.26761,-39.252303,28,50,1204.309394
-7.141719,-34.328653,30,50,1206.114113
-7.121272,-24.618595,16,50,1207.890199
-9.175816,-46.008988,39,50,1209.634593
-10.785194,-34.897258,20,50,1211.376104
-11.768581,-34.809419,22,50,1213.135113
-5.717239,-40.289304,33,50,1214.918721
-8.345739,-37.821779,27,50,1216.713229
-8.002749,-37.720377,37,50,1218.463956
-7.050475,-25.390606,13,50,1220.269492
-7.215214,-20.277011,8,50,1222.038102
-8.493206,-27.95313,14,50,1223.84359
-8.404114,-25.359226,13,50,1225.600039
-3.650217,-6.863969,0,50,1227.412627
-9.801673,-22.381043,12,50,1229.193233
-7.220652,-21.500455,10,50,1231.006223
-8.675115,-38.27378,24,50,1232.749435
-6.233275,-30.282055,18,50,1234.666047
-7.902307,-43.110337,33,50,1236.446925
-8.93818,-37.725802,38,50,1238.203876
-10.904665,-43.894103,40,50,1239.971325
-10.535545,-36.471306,25,50,1241.691908
-6.875382,-46.063204,37,50,1243.465319
